#Descr,shortName,cap,price PD
Single Room,R1.23,1,3000
Single Room,R1.24,1,3000
Single Room,R1.25,1,3000
Single Room,R2.23,1,3000
Single Room,R2.24,1,3000
Single Room,R3.25,1,3000
Single Room,R3.23,1,3000
Single Room,R4.24,1,2500
Single Room,R4.25,1,2500
Double Room,R1.26,2,5000
Double Room,R1.27,2,5000
Double Room,R1.28,2,5000
Double Room,R1.29,2,5000
Double Room,R2.26,2,5000
Double Room,R2.27,2,5000
Double Room,R2.28,2,5000
Double Room,R2.29,2,5000
Double Room,R3.26,2,5000
Double Room,R3.27,2,5000
Double Room,R3.28,2,5000
Double Room,R3.29,2,5000
Meeting Room,R1.20,12,10000
Meeting Room,R2.20,12,10000
Meeting Room,R3.20,12,10000
Single Room,R5.21,1,3000
Single Room,R5.22,1,3000
Single Room,R5.23,1,3000
Single Room,R5.24,1,3000
Single Room,R5.25,1,3000
Single Room,R5.26,1,3000
Single Room,R5.26,1,3000
Single Room,R5.28,1,3000
Single Room,R5.29,1,3000
Single Room,R5.21,1,3000
Single Room,R6.22,1,3000
Single Room,R6.23,1,3000
Single Room,R6.24,1,3000
Single Room,R6.25,1,3000
Single Room,R6.26,1,3000
Single Room,R6.26,1,3000
Single Room,R6.28,1,3000
Single Room,R6.29,1,3000
Single Room,R7.21,1,3000
Single Room,R7.22,1,3000
Single Room,R7.23,1,3000
Single Room,R7.24,1,3000
Single Room,R7.25,1,3000
Single Room,R7.26,1,3000
Single Room,R7.26,1,3000
Single Room,R7.28,1,3000
Single Room,R7.29,1,3000
Single Room,R8.21,1,3000
Single Room,R8.22,1,3000
Single Room,R8.23,1,3000
Single Room,R8.24,1,3000
Single Room,R8.25,1,3000
Single Room,R8.26,1,3000
Single Room,R8.26,1,3000
Single Room,R8.28,1,3000
Single Room,R8.29,1,3000
